1	Bulbasaur	Seed Pokémon	A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.	4	7
2	Ivysaur	Seed Pokémon	There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.	4	7
3	Venasaur	Seed Pokémon	By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.	4	7
4	Charmander	Lizard Pokémon	The flame on its tail indicates Charmander's life force. If it's healthy, the flame burns brightly.	1	-1
5	Charmeleon	Flame Pokémon	It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.	1	-1
6	Charizard	Flame Pokémon	When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.	1	9
7	Squirtle	Tiny Turtle Pokémon	It shelters itself in its shell, then strikes back with spouts of water at every opportunity.	2	-1
8	Wartortle	Turtle Pokémon	When trapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.	2	-1
9	Blastoise	Shellfish Pokémon	It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.	2	-1
10	Caterpie	Worm Pokémon	For protection, it releases a horrible stench from the antennae on its head to drive away enemies.	11	-1
11	Metapod	Cocoon Pokémon	A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.	11	-1
12	Butterfree	Butterfly Pokémon	It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.	11	9
13	Weedle	Hairy Pokémon	Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.	11	7
14	Kakuna	Cocoon Pokémon	Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.	11	7
15	Beedrill	Poison Bee Pokémon	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	11	7
16	Pidgey	Tiny Bird Pokémon	A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.	0	9
17	Pidgeotto	Bird Pokémon	The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.	0	-1
18	Pidgeot	Bird Pokémon	When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.	0	9
19	Rattatta	Mouse Pokémon	Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.	0	-1
20	Raticate	Mouse Pokémon	It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.	0	-1
21	Spearow	Tiny Bird Pokémon	Very protective of its territory, it flaps its short wings busily to dart around at high speed.	0	9
22	Fearow	Beak Pokémon	With its huge and magnificent wings, it can keep aloft without ever having to land for rest.	0	9
23	Ekans	Snake Pokémon	The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.	7	-1
24	Arbok	Cobra Pokémon	The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.	7	-1
25	Pikachu	Mouse Pokémon	It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.	3	-1
26	Raichu	Mouse Pokémon	When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.	3	-1
27	Sandshrew	Mouse Pokémon	It burrows and lives underground. If threatened, it curls itself up into a ball for protection.	8	-1
28	Sandslash	Mouse Pokémon	If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.	8	-1
29	Nidoran♀	Poison Pin Pokémon	Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns.	7	-1
30	Nidorina	Poison Pin Pokémon	The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.	7	-1
31	Nidoqueen	Drill Pokémon	It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.	7	8
32	Nidoran♂	Poison Pin Pokémon	It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.	7	-1
33	Nidorino	Poison Pin Pokémon	It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.	7	-1
34	Nidoking	Drill Pokémon	It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom.	7	8
35	Clefairy	Fairy Pokémon	It is said that happiness will come to those who see a gathering of Clefairy under a full moon.	17	-1
36	Clefable	Fairy Pokémon	Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.	17	-1
37	Vulpix	Fox Pokémon	When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older.	1	-1
38	Ninetales	Fox Pokémon	It has nine long tales and fur that gleams gold. It is said to live for 1,000 years.	1	-1
39	Jigglypuff	Balloon Pokémon	It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody.	0	-1
40	Wigglytuff	Balloon Pokémon	Their fur feels so good that if two of them snuggle together, they won't want to be separated.	0	-1
41	Zubat	Bat Pokémon	Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth.	7	9
42	Golbat	Bat Pokémon	Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.	7	9
43	Oddish	Weed Pokémon	During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.	4	7
44	Gloom	Weed Pokémon	Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.	4	7
45	Vileplume	Flower Pokémon	The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.	4	7
46	Paras	Mushroom Pokémon	Growing out of the bug's back are mushrooms called tochukaso. The mushrooms grow with the bug host.	11	4
47	Parasect	Mushroom Pokémon	A mushroom grown larger than the host's body controls Parasect. It scatters poisonous spores.	11	4
48	Venonat	Insect Pokémon	Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.	11	7
49	Venomoth	Poison Moth Pokémon	The scales it scatters will paralyze anyone who touches them, making that person unable to stand.	11	7
50	Diglett	Mole Pokémon	Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.	8	-1
51	Dugtrio	Mole Pokémon	In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.	8	-1
52	Meowth	Scratch Cat Pokémon	It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.	0	-1
53	Persian	Classy Cat Pokémon	A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk.	0	-1
54	Psyduck	Duck Pokémon	It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.	2	-1
55	Golduck	Duck Pokémon	It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously.	2	-1
56	Mankey	Pig Monkey Pokémon	It's unsafe to approach if it gets violently enraged for no reason and can't distinguish friends from foes.	6	-1
57	Primeape	Pig Monkey Pokémon	It stops being angry only when nobody else is around. To view this moment is very difficult	6	-1
